College,Playground,Auditorium,Theatre,Library,Laboratory,Conference Hall,Health Center,Gymnasium/ Fitness Center,Indoor Stadium,Common Room,Computer Center,Cafeteria,Guest House
"Govt. Rajindra College, Bathinda (Id: C-22227)",Yes,Yes,Yes,No,Yes,No,No,Yes,No,Yes,Yes,No,No
"Govt. Rajiv Ghandi College, Lormi (Id: C-22403)",Yes,No,No,Yes,No,No,No,No,No,Yes,Yes,No,No
"Govt.Rajkumar Dhiraj Singh Navin College, Udaypur (Id: C-9680)",No,No,No,No,No,No,No,No,No,No,No,No,No
"Govt. Rajmahant Nayandas, Mahilang College Bhatgao (Id: C-21731)",Yes,No,No,Yes,No,No,No,No,No,Yes,No,No,No
"Govt. Rajmata Vijayaraje Sindhiya Kanya Mahavidyalaya, Kawardha, Kabirdham (Id: C-21650)",Yes,No,No,Yes,Yes,No,No,No,No,No,No,No,No
"Govt. Rajmohni Devi Girls College, Ambikapur (Id: C-9724)",Yes,No,No,Yes,Yes,No,No,No,No,Yes,Yes,No,No
"GOVT. RAJNARAYAN SMARTI COLLEGE WAIDHAN,SINGROLI (Id: C-31765)",Yes,No,No,Yes,Yes,Yes,No,No,No,Yes,Yes,No,No
"Govt. Ramanuj Pratap Sing Dev College, Baikunthpur (Id: C-9711)",Yes,No,No,Yes,Yes,No,No,No,No,Yes,Yes,No,No
"Govt. Ram Bhajhan Rai N.E.S. P.G. College, Jashpur Nagar (Id: C-9707)",Yes,No,No,Yes,Yes,No,No,No,No,No,Yes,Yes,No
"Govt. Ranbir College, Sangrur (Id: C-22079)",Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No
"Govt.Rani Dugrawati Mahavidyalaya, Wadrafnager (Id: C-9735)",Yes,No,No,Yes,Yes,No,No,No,No,No,No,No,No
Govt. Rani Suryamukhi Devi Mahavidyalaya Churiya (Id: C-21795),Yes,No,No,No,No,No,No,No,No,Yes,No,No,No
Govt. Raza (PG) College (Id: C-13329),No,No,No,Yes,Yes,No,No,No,No,Yes,Yes,No,No
"Govt. R.C. College, Racecourse Raod, Bangalore-1 (Id: C-20606)",Yes,No,No,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,No
"Govt. R D Girls College, Bharatpur (Id: C-38826)",Yes,No,No,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,No
"Govt. R.D.P.G. College, Mandla (Id: C-33459)",Yes,No,No,Yes,Yes,Yes,No,Yes,No,No,Yes,No,No
"Govt.Revti Raman Mishra College, Surajpur (Id: C-9719)",Yes,No,No,Yes,Yes,Yes,No,No,No,Yes,No,No,No
"Govt. Ripudaman College, Nabha (Id: C-22241)",Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No
"Govt. R.V.College, Manasa (Id: C-31708)",Yes,No,No,Yes,Yes,No,No,No,Yes,Yes,Yes,No,No
"GOVT.R.V.P SINGH COLLEGE, UMARIA, (Id: C-31897)",Yes,No,No,Yes,Yes,Yes,No,No,No,Yes,No,No,No
Govt. Sahid Koushal Yadav College Gundardehi (Id: C-21725),No,No,No,Yes,Yes,No,No,No,No,Yes,No,No,No
Govt. Saiha College (Id: C-8305),No,No,No,Yes,No,Yes,No,No,No,Yes,Yes,No,No
Govt. Saitual College (Id: C-8297),Yes,No,No,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,No
"Govt Samskrita College, Melukote (Id: C-13493)",No,No,No,Yes,No,Yes,No,No,No,Yes,Yes,No,No
GOVT.SANJAY GANDHI SMARTI COLLEGE SIDHI (Id: C-31873),Yes,No,No,Yes,Yes,Yes,No,No,No,Yes,Yes,No,No
"Govt. Sanjay Gandhi Smriti College, Ganjbasoda, Vidisha (Id: C-35214)",Yes,No,No,Yes,Yes,Yes,No,No,No,Yes,Yes,No,No
"Govt. Sanskrit College, Kiartu. Teh. Theog. Distt Shimla (Id: C-11325)",No,No,No,No,No,No,No,No,No,No,No,No,No
"Govt. Sanskrit College, Purana Bazaar, Sundernagar, Distt Mandi (Id: C-11314)",Yes,No,No,Yes,No,Yes,No,No,No,No,Yes,Yes,No
"GOVT. SANSKRIT COLLEGE, RANCHI (Id: C-44408)",Yes,No,No,Yes,No,Yes,No,No,No,Yes,No,No,No
"Govt. Sanskrit College, Solan (Id: C-11550)",No,Yes,No,Yes,No,Yes,No,No,No,No,Yes,No,No
"Govt.Sanskrit College, Thiruvananthapuram (Id: C-43721)",Yes,Yes,No,Yes,No,Yes,No,Yes,No,No,Yes,No,No
Govt.Sant Gahira Guru Rameshwar College Lailunga (Id: C-22406),No,No,No,Yes,Yes,No,No,No,No,No,No,No,No
"Govt. Sant Ramhwar Gahira Guru ji College, Bagicha (Id: C-9702)",No,No,No,Yes,Yes,No,No,No,No,Yes,No,No,No
"Govt. Sarojini Naidu Girls College, Shivaji Nagar, Bhopal (Id: C-35245)",Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No
Govt Science College (Id: C-18354),Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No
"Govt. Science College, Nrupathunga Road, Bangalore-1 (Id: C-20643)",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No
"Govt. Science College, Pandhurana (Id: C-19276)",Yes,No,No,Yes,Yes,Yes,No,No,No,Yes,Yes,No,No
"Govt. Science College, Sausar (Id: C-19258)",Yes,No,No,Yes,Yes,No,No,No,No,No,No,No,No
Govt. Serchhip College (Id: C-8311),Yes,No,No,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,No
Govt. Shaheed Bapurao College Sukama (Id: C-24961),Yes,No,No,Yes,No,No,No,Yes,No,No,No,No,No
"Govt. Shaheed Bhagat Singh College, Jaora (Id: C-32604)",Yes,No,Yes,Yes,Yes,No,No,Yes,No,No,Yes,No,No
"Govt. Shahid Veer Naraya Singh College, Bhilaigarh (Id: C-21866)",Yes,No,No,Yes,No,No,No,No,No,Yes,No,No,No
"Govt. Shakambhar PG College, Sambhar Lekh, Jaipur (Id: C-40807)",Yes,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No
"Govt. Shiksha College, Khandwa (Id: C-29761)",Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,No,Yes
Govt. Shiksha College Sankar Nagar (Id: C-21865),Yes,Yes,No,Yes,Yes,No,No,No,No,No,Yes,No,No
"Govt. Shivnath Science Mahavidyalaya, Rajnandgaon (Id: C-21808)",Yes,No,No,Yes,Yes,No,No,No,No,Yes,Yes,No,No
Govt. Shivnath Yadav Tamaskar Auto-nomus College (Id: C-21670),Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No
GOVT. SHRI MANT MADHAVRAO SHINDHIYA COLLEGE (Id: C-34894),Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes
GOVT. SHRIMANT MAHAVRAO SHINDHIYA ADARSH SCIENCE COLLEGE (Id: C-34714),Yes,No,No,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,No
"Govt. ShriR.S. Hazari College, Hatta (Id: C-19186)",Yes,No,No,Yes,Yes,Yes,No,No,No,Yes,Yes,No,No
"Govt. Shukhram Nage College, Sihawa (Nagari) (Id: C-21637)",Yes,No,No,Yes,Yes,No,No,No,No,No,No,No,No
"Govt.Shyama Prasad Mukharjee College, Sitapur (Id: C-9745)",Yes,No,No,Yes,Yes,No,No,No,No,Yes,Yes,No,No
"GOVT. S.K. COLLEGE,MAUGANJ.REWA (Id: C-31836)",Yes,No,No,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes
"Govt. S K S J Technological Institute, BANGALORE (Id: C-1348)",Yes,No,No,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No
"Govt. S K S J Technological Institute(Eve), BANGALORE (Id: C-1431)",No,No,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,No
GOVT. SMT INDIRA GANDHI GIRLS COLLEGE (Id: C-34830),Yes,No,No,Yes,Yes,No,No,No,No,Yes,Yes,No,No
"Govt. Snaskrit College, Nahan, Distt Sirmour (Id: C-11395)",No,No,No,Yes,No,No,No,No,No,Yes,Yes,No,No
"Govt. S.N.Udia College, Mandsaur (Id: C-31667)",No,No,No,No,No,No,No,No,No,No,No,No,No
Govt. S.P.M.R College of Commerce (Id: C-22967),No,No,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,No
"Govt. S.S. Agrawal College, Sihora, Jabalpur (Id: C-33432)",Yes,No,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,No
"Govt. S.S.P. Arts, Commerce & Science College, Waraseoni, Balaghat (Id: C-33443)",Yes,No,No,Yes,Yes,Yes,No,No,No,Yes,Yes,No,No
Govt.Swami Atmanand College Narayanpur (Id: C-24978),No,No,No,Yes,Yes,No,No,No,No,No,No,No,No
"Govt. Swami Vivekanand College, Bairasia, Bhopal (Id: C-35218)",Yes,No,No,Yes,Yes,No,No,No,No,Yes,No,No,No
"Govt. Swami Vivekanand College, Raisen (Id: C-35234)",Yes,Yes,No,Yes,Yes,No,No,No,No,Yes,Yes,No,No
GOVT. SYAMLAL PANDVI COLLEGE MORAR (Id: C-34967),Yes,No,No,Yes,Yes,Yes,No,No,No,Yes,Yes,No,No
"GOVT. TAKMIL UTTIB COLLEGE, (Id: C-12491)",Yes,No,No,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,No
"Govt. T.C. L. College, Jangjir (Id: C-22319)",Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No
Govt. Teachears' Training College (Id: C-42694),Yes,No,Yes,Yes,Yes,No,No,No,No,No,Yes,No,No
"Govt. Tilak College, Katni (Id: C-33455)",Yes,Yes,No,Yes,Yes,Yes,No,No,No,Yes,Yes,No,No
"Govt. T.N.S. College, Gotegaon, Narsinghpur (Id: C-33456)",No,No,No,Yes,No,No,No,No,No,No,No,No,No
"Govt. Tool Room & Training Center, MYSORE (Id: C-1388)",Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No
"Govt. Tool Room & Training Centre, BANGALORE (Id: C-1334)",No,No,No,Yes,Yes,No,No,No,No,Yes,Yes,Yes,No
Govt. T. Romana College (Id: C-8303),No,No,No,Yes,No,No,No,No,No,No,Yes,No,No
"GOVT.T.R.S. COLLEGE,REWA (Id: C-31790)",Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,No
"Govt. T.T. College, (Id: C-8778)",Yes,No,No,Yes,Yes,No,No,No,No,Yes,No,No,No
GOVT.TULSHI COLLEGE ANUPPUR (Id: C-31852),No,No,No,Yes,Yes,No,No,No,No,Yes,Yes,No,No
Govt. Veer Surendra Saay College Gariyaband (Id: C-21693),No,No,No,Yes,No,No,No,Yes,No,No,No,No,No
"GOVT. VICTORIA COLLEGE, PALAKKAD (Id: C-8209)",Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,No
"Govt.Vidarbha Institute of Science & Humanities, Amravati. (Id: C-42819)",Yes,No,No,No,No,No,No,No,No,No,No,No,No
GOVT. VIJAYARAJE SHINDHIYA GIRLS COLLEGE MORAR (Id: C-34766),Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No
"Govt. Vijay Bhushan Sighdeo Girls College, Jashpur Nagar (Id: C-9738)",Yes,No,No,Yes,Yes,Yes,No,No,No,Yes,Yes,No,No
"Govt. Vikram College, Khachraud (Id: C-31620)",Yes,No,No,Yes,Yes,No,No,Yes,No,Yes,Yes,No,No
"Govt.Virangna Avanti Bai Lodhi College, Patharia (Id: C-22307)",Yes,No,No,Yes,No,No,No,No,No,No,No,No,No
"Govt. Vivakanand P.G. College, Manendragarh (Id: C-9731)",Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,No
"GOVT.VIVEKANAND COLLEGE, MAIHAR,SATNA (Id: C-31849)",Yes,No,No,Yes,Yes,Yes,No,No,No,Yes,Yes,No,No
"GOVT V R S COLLEGE, BHANDER (Id: C-48049)",Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,No
Govt. Women's College (Id: C-40942),Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,No
Govt.Women's College (Id: C-40925),Yes,No,No,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No
Govt.Women's College (Id: C-40958),No,No,No,Yes,Yes,Yes,No,No,No,Yes,Yes,No,No
Govt.Women's College (Id: C-40964),Yes,Yes,No,Yes,Yes,No,No,No,No,Yes,Yes,No,No
"Govt. Women's College,Baripada (Id: C-10955)",Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,No
"Govt. Women's college,Keonjhar (Id: C-10929)",Yes,Yes,No,Yes,Yes,No,No,Yes,No,No,No,No,No
"Govt. Women's College, Puri (Id: C-39834)",No,No,No,Yes,Yes,Yes,No,No,No,Yes,Yes,No,No
"Govt. Women's First Grade College, Ajjarakadu, Udupi (Id: C-16851)",No,No,No,Yes,Yes,No,No,No,No,Yes,Yes,No,No
Govt. Zawlnuam College (Id: C-8292),No,No,No,Yes,No,No,No,No,No,Yes,No,No,No
Govt. Zirtiri Residential Science College (Id: C-8287),No,Yes,No,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,No
"Gowtami College of Nursing, Hyderabad (Id: C-30441)",No,No,No,Yes,Yes,Yes,No,No,No,Yes,No,No,No
GOWTHAM DEGREE COLLEGE (Id: C-25308),Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,No
"Gowthami Degree College, Cherla (V&M) (Id: C-27289)",Yes,No,No,Yes,Yes,Yes,No,No,No,Yes,Yes,No,No
"G.P.College,Lachhipur (Id: C-40815)",No,No,No,Yes,No,No,No,No,No,Yes,No,No,No
"G P DEGREE COLLEGE SURENDRAGARH THARVIHAR KARCHANA, ALLAHABAD (Id: C-46435)",Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes
"G.P. Pant Memorial Govt. College Rampur Bhushar, Distt Shimla (Id: C-11368)",Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No
"G P PORWAL ARTS/SCI/COMM COLLEGE, SINDAGI (Id: C-10133)",Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No
"G.P.R.College,Kuntara (Id: C-40978)",Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,No
"G.P.S. Degree College Khalilabad, Santkabir Nagar (Id: C-14274)",Yes,No,No,Yes,Yes,Yes,No,No,No,Yes,Yes,No,Yes
G.P. Secondary Teacher Education Training College (Id: C-14590),Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
"G.Pullaiah College of Engineering & Technology, Kurnool (Id: C-27009)",Yes,Yes,No,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,No
G. Pulla Reddy College of Pharmacy (Id: C-26083),Yes,No,No,Yes,Yes,Yes,No,No,No,Yes,Yes,No,No
G. Pulla Reddy Degree & P.G College (Id: C-25887),Yes,No,No,Yes,Yes,No,No,No,No,No,Yes,No,No
"G.Pulla Reddy Dental College & Hospital, Kurnool (Id: C-30366)",Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes
"G. Pullla Reddy Engineering College, (Autonomous), Kurnool (Id: C-26905)",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
G.P. Women's College (Id: C-9423),Yes,Yes,No,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,No
GRACE COLLEGE OF COMMERCE-RAJKOT (Id: C-816),Yes,No,No,Yes,No,No,No,No,No,No,Yes,No,No
Grace College of Education (Id: C-14735),Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Grace College of Education (Id: C-14793),Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
"GRACE COLLEGE OF NURSING, KANYAKUMARI (Id: C-47573)",Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes
"GRACE VALLEY ARTS & SCIENCE COLLEGE, MARAVATTAM (Id: C-8000)",Yes,No,No,Yes,Yes,Yes,No,No,No,No,Yes,No,Yes
"GRACIOUS COLLEGE OF NURSING, BELBHATA, ABHANPUR (Id: C-32963)",Yes,Yes,No,Yes,Yes,Yes,No,No,No,Yes,Yes,No,No
Graduate Basic Training College (Id: C-7154),Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes
"Graduate School of Business , Nipaniya, Indore (Id: C-29755)",Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,No
Grahambell Institute of Technology & Science (Id: C-25452),Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes
Grahambell PG College (Id: C-25628),Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes
Gramanthara First Grade College Keragodu Mandya (Id: C-17411),Yes,No,No,Yes,Yes,No,No,No,No,No,Yes,No,No
"Gramasthali Mahila Mahavidyalaya, Kakarakhor, Gorakhpur (Id: C-14313)",Yes,No,No,Yes,Yes,No,No,No,No,Yes,Yes,No,Yes
"Gram Bharti College, Ramgarh (Id: C-27121)",Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,Yes,No,Yes
"GRAMEENA V V SS EDU COLLEGE, NODAGUNDI (Id: C-10014)",No,Yes,No,Yes,Yes,Yes,No,No,No,Yes,Yes,No,No
Grameen Ayurvedic Medical College terdal (Id: C-44818),Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
"Gramgeeta College, Chimur (Id: C-18925)",Yes,Yes,No,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,No
"Gramin Arts, Commerce & Science Mahavidyalaya, Vasant Nagar, Kotgyal, Tq. Mukhed (Id: C-7421)",Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
"Gramin Arts & Science College, Nehrunagar, Nagalgaon, Tq. Kandhar (Id: C-7511)",No,No,No,No,No,No,No,No,No,No,No,No,No
"Gramin Balika PG Mahavi., Jhunjhunun (Id: C-39146)",Yes,No,No,Yes,Yes,Yes,No,No,No,Yes,No,No,No
"Gramin B.C.S. & B.C.A. Computational , College, New Mondha Kandhar (Id: C-7390)",No,No,No,No,No,No,No,No,No,No,No,No,No
"Gramin College of Education, VPO Jamalpur Sheikhan, Tohana (Id: C-22441)",Yes,No,No,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,No
"Gramin Mahila Mahavidyalaya,Ranipur Rajmo,Bindra Bazar, Azamgarh (Id: C-16016)",Yes,No,No,Yes,Yes,No,No,No,No,Yes,Yes,No,No
"Gramin Mahila PG Mahavi., Sikar (Id: C-38970)",Yes,No,No,Yes,Yes,Yes,Yes,No,No,Yes,No,No,No
Gramin Shikshan Sansthas College of Arts Science and Commerce Majiwade Dist Thane 400 601 (Id: C-33672),Yes,No,No,Yes,No,No,No,No,No,No,No,No,No
"Gramin Vikas Sanstha Nasik Sanchalit Shri Siddhivinayak College of Education, V.T.Sankul, Malegaon Road, Nandgaon, Dist.Nashik (Id: C-41765)",Yes,No,No,Yes,No,No,No,No,No,No,No,No,No
"Gramodaya Gramodaya's Shri Saibaba Institute of Engineering Research Allied Sciences, Rahata, Address: A/p.- Pimplas, Taluka: Rahata, District: Ahmednagar. (Id: C-41952)",Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
"Gramodaya Mahavidyalaya & Research Institute, Bilari (Id: C-13417)",Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes
"Gramoday Trusts Rajeev Business School, Tathawade, Pune 411033 (Id: C-41857)",Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No
"Gramodhyogik Shikshan Mandals MITs Nursing College, Cidco, Aurangabad (Id: C-13765)",No,No,No,No,No,No,No,No,No,No,No,No,No
"Gramodhyog Mahavidyalaya, Bilara (Id: C-13213)",Yes,Yes,No,Yes,Yes,Yes,No,No,No,Yes,Yes,No,Yes
"Gramodyogik Shikshan Prasarak Mandal's Maharashtra Institute of Technology, Beed Bypass Road. (Id: C-34399)",Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
"Gramonnati Mandals Arts, Science & Commerce College,Pune (Id: C-42169)",Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,No
"Gramonnati Mandals B.Ed College,Pune (Id: C-41262)",Yes,No,No,Yes,Yes,Yes,No,No,No,No,Yes,No,No
"Gramotthan Vidyapeeth T. T. College, Sangaria (Id: C-40674)",Yes,Yes,No,Yes,Yes,Yes,No,No,No,Yes,Yes,No,No
"Gram Samaj Mahavidyalaya,Jaistali,Babu Ki Khajuri Azamgarh (Id: C-15982)",Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes
GRAM SARVAJANIK EDUCATION TRUST B.ED.COLLEGE-AMRAPUR (JASDAN) (Id: C-914),Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes
GRAMSEVA MAHAVIDHYALAY GRMA BHARATI- AMRAPUR (Id: C-6659),Yes,Yes,No,Yes,Yes,Yes,No,No,No,No,Yes,No,Yes
"Gramya Bharati Vidyapeeth, Hardibazar (Id: C-22343)",Yes,Yes,No,Yes,Yes,No,No,Yes,No,Yes,Yes,No,No
"GRAMYANCHAL LAW MAHAVIDYALAYA, HAIDERGARH, BARABANKI (Id: C-42387)",Yes,Yes,No,Yes,No,No,Yes,No,Yes,Yes,No,No,Yes
GRANTHAM NURSING COLLEGE (Id: C-34968),Yes,Yes,No,Yes,Yes,No,No,No,No,Yes,Yes,No,No
"Grant Medical College, Seth J.J. Compound Byculla, Mumbai (Id: C-13853)",No,No,No,No,No,No,No,No,No,No,No,No,No
"Grant Medical Foundation, Ruby Hall Clinics Tehmi Grant Institute of Nursing, Pune. (B.Sc.) (Id: C-13744)",No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
"G R COLLEGE FOR PROFESSIONAL STUDIES, GWALIOR (Id: C-48005)",Yes,No,No,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,No
"G.R. College of Arts, Science & Commerce, #77/2B, BM Kaval Village, Off Agara Main, Tataguni Post, Bangalore South.(9-10/10-11) (Id: C-20763)",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
G.R.Damodaran Academy of Management (Id: C-41088),Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes
G.R.D. College of Education (Id: C-14898),Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No
G.R.D. College Pamgarh (Id: C-22318),Yes,Yes,No,Yes,Yes,No,No,No,No,Yes,Yes,No,No
"G.R.D Girls Degree College, Niranjanpur, Near Police Line, Patel Nagar, Dehradun (Id: C-24696)",Yes,Yes,No,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,No
G.R.D. Institute of Management & Technology (Id: C-21309),Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
GRD (PG) IMT (Id: C-21274),Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
"GREASES COLLEGE OF NURSING, BALAGHAT (Id: C-47347)",Yes,Yes,No,Yes,Yes,No,No,No,No,Yes,No,No,No
Greater Hyderabad Institue of Pharmacy (Id: C-19680),Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,No
Greater Kolkata College of Engineering and Management 236 (Id: C-6185),Yes,No,No,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,No
"GREATER NOIDA COLLEGE OF EDUCATION 39-A, KNOWLEDGE PARK-III, GREATAER NOIDA Ph. 9811162608 (Id: C-28660)",Yes,No,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes
"Great India T.T. College, Khanpur, Jhalawar (Id: C-19453)",Yes,No,No,No,Yes,Yes,Yes,No,No,Yes,No,No,Yes
"GREEN AGRA MAHAVIDYALAYA PILI POKHAR MAHAMAYA NAGAR ROAD, AGRA (Id: C-15508)",Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,No
Green City College of Nursing (Id: C-40335),Yes,Yes,No,Yes,Yes,No,No,No,No,Yes,Yes,Yes,Yes
"GREEN FIELD COLLEGE ILASIYA GRANT RAMKOT, SITAPUR (Id: C-46449)",Yes,No,No,Yes,Yes,No,No,No,No,No,Yes,No,No
Green Fields College of Hotel Management (Id: C-25579),No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Yes,No
GREEN FINGURES COLLEGE OF COMPUTER & TECNOLOGY AKLUJ TAL.MALSHIRAS DIST. SOLAPUR. (Id: C-15780),Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No
Green Fort Engineering College (Id: C-19695),Yes,No,No,Yes,Yes,No,No,No,No,Yes,Yes,No,No
"GREEN HEAVEN COLLEGE OF EDUCATION, NAGPUR (Id: C-47836)",No,No,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No
"Green Hills Engineering College, Gandhi Gram Road, Kumarhatti, Distt Solan (Id: C-11520)",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
GREEN MEADOWS COLLEGE OF EDUCATION (Id: C-28353),Yes,No,No,Yes,Yes,Yes,No,No,No,Yes,Yes,No,No
Greentech College of Engineering for Women (Id: C-37039),Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Green Valley College of Education (Id: C-13023),Yes,Yes,No,Yes,Yes,Yes,No,No,No,Yes,Yes,No,No
"GREEN VALLEY COLLEGE OF EDUCATION, BARAMULLAH (Id: C-45964)",Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No
"GREEN VALLEY COLLEGE OF EDUCATION, PULWAMA (Id: C-45992)",Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes
"Gresiyash College of Education, Belbhata (Abhanpur) (Id: C-21858)",Yes,Yes,No,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,No
G.R.Govindarajulu College of Education (Id: C-14609),Yes,No,No,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,No
"G.R. HOSPITAL, COIMBATORE (Id: C-45556)",No,Yes,No,Yes,Yes,No,Yes,No,No,No,Yes,Yes,No
"GRIZZLY COLLEGE OF EDUCATION, JHUMRI TELAILYA (Id: C-44411)",Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes
"G.R.K Degree College, Maddipadu (Id: C-39306)",Yes,No,No,Yes,Yes,No,No,No,No,Yes,Yes,No,No
G.R. Memorial Shiksha Shastri Mahavidyalaya (Id: C-26589),Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes
Gromodyogik Shikshan Mandal's Marathwada Institute of Technology Management College. (Id: C-34347),Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes
