College,Playground,Auditorium,Theatre,Library,Laboratory,Conference Hall,Health Center,Gymnasium/ Fitness Center,Indoor Stadium,Common Room,Computer Center,Cafeteria,Guest House
"039 S.P.B. PATEL ENGG. COLLEGE(SAFFRONY), LINCH, MAHESHANA (Id: C-270)",Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
"040 SAKALCHAND PATEL COLLEGE OF ENGG., VISNAGAR (Id: C-381)",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
"041 SARDAR VALLABHBHAI PATEL INSTITUTE OF TECH.,VASAD (Id: C-319)",Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No
"042 SARVAJANIK COLLEGE OF ENGG. & TECH. , SURAT (Id: C-57)",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes
"043 SHANTILAL SHAH ENGINEERING COLLEGE ,BHAVNAGAR (Id: C-44)",Yes,No,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No
"044 C.U.SHAH COLLEGE OF ENGG.& TECH.,WADHVAN (Id: C-414)",Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No
"045 SHRI SADVIDHYA MANDAL INSTITUTE OF TECH., BHARUCH (Id: C-197)",Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
"046 UNIVERSAL COLLEGE OF ENGG. AND TECH., MOTI BHOYAN (Id: C-281)",Yes,No,No,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,No
"047 V.V.P. ENGINEERING COLLEGE, RAJKOT (Id: C-292)",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No
"048 VALIA INSTITUTE OF TECHNOLOGY, BHARUCH (Id: C-24)",Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes
"049 VIDHYABHARTI TRUST INST. OF TECH. & RESEARCH CENTER, UMRAKH (Id: C-48)",Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes
"050 SIGMA INSTITUTE OF ENGG., BAKROL (Id: C-183)",Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
"051 ALPHA COLLEGE OF ENGG. & TECH., KHATRAJ, KALOL (Id: C-207)",Yes,Yes,No,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,No
"052 CENTRAL INSTITUE OF PLASTICS ENGG. & TECH., VATVA, AHMEDABAD (Id: C-323)",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
"054 DARSHAN INSTITUTE OF ENGG. & TECH., RAJKOT-MORBI HIGHWAY, HADALA (Id: C-73)",Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No
"055 ENGGINERING COLLEGE, TUWA, GODHARA (Id: C-181)",Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No
"056 FACULTY OF ENGG., GROW MORE FOUNDATION GROUP OF INSTITUTIONS, BERNA, HIMMATNAGAR (Id: C-343)",Yes,No,No,Yes,Yes,Yes,No,No,No,No,No,Yes,Yes
"057 FACULTY OF ENGG., MARWADI EDU. FOUNDATION GROUP OF INSTITUTIONS, RAJKOT (Id: C-134)",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
"058 FACULTY OF ENGG., SHREE SARASWATI EDU. SANSTHAN GROUP OF INSTITUTIONS, RAJPUR, KADI (Id: C-329)",Yes,No,No,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,No
"059 G.K. BHARAD INSTITUTE OF ENGG., KASTURBA DHAM, RAJKOT (Id: C-315)",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
"060 GOVERNMENT ENGINEERING COLLEGE, GODHARA (Id: C-119)",Yes,No,No,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,No
"061 GOVERNMENT ENGINEERING COLLEGE, PALANPUR (Id: C-305)",No,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No
"062 GUJARAT INSTITUTE OF TECHNICAL STUDIES, MOYAD, PRANTIJ (Id: C-106)",Yes,No,No,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,No
"064 K.J. INSTITUTE OF ENGG. AND TECH., SAVALI (Id: C-258)",Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No
"065 MERCHANT ENGG. COLLEGE, BASNA. VISNAGAR (Id: C-83)",Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
