SI. No.,Name of Institution,Number of Hostels - Boys,Number of Hostels - Girls,Number of Hostels - Others,Number of Hostels - Total,Intake Capacity - Boys,Intake Capacity - Girls,Intake Capacity - Others,Intake Capacity - Total,Number of Students Residing - Boys,Number of Students Residing - Girls,Number of Students Residing - Others,Number of Students Residing - Total
1,"001 A. D. Patel Institute Of Technology, Karamsad (Id: C-176)",2,2,0,4,147,147,NA,294,147,147,NA,294
2,"003 Atmiya Institute of Technology and Science (SFI)-WITH ENGG,Rajkot. (Id: C-124)",1,0,0,1,100,NA,NA,100,100,NA,NA,100
3,"004 B.H.GARDI COLLEGE OF ENGG. and TECHNOLOGY , RAJKOT (Id: C-91)",2,1,0,3,400,100,NA,500,400,50,NA,450
4,"005 BABARIA INSTITUTE OF TECHNOLOGY,VARNAMA,VADODARA (Id: C-417)",1,1,0,2,435,68,NA,503,279,55,NA,334
5,"007 BIRLA VISHVAKARMA MAHA VIDHYALAYA(GIA), V.V.NAGAR (Id: C-347)",2,1,0,3,685,75,NA,760,685,75,NA,760
6,"008 BIRLA VISHVAKARMA MAHA VIDHYLAYA(SFI), V.V.NAGAR (Id: C-330)",1,1,0,2,300,100,NA,400,50,30,NA,80
7,"011 G.H.PATEL COLLEGE OF ENGG. and TECH. , V. V. NAGAR (Id: C-94)",1,2,0,3,399,112,NA,511,399,112,NA,511
8,"013 GOVERNMENT ENGINEERING COLLEGE, SECTOR 28 GANDHINAGAR (Id: C-309)",1,1,0,2,84,84,NA,168,160,160,NA,320
9,"014 GOVERNMENT ENGINEERING COLLEGE, BHARUCH (Id: C-271)",1,1,0,2,250,100,NA,350,0,0,NA,0
10,"015 GOVERNMENT ENGINEERING COLLEGE, BHUJ (Id: C-295)",2,1,0,3,300,100,NA,400,190,90,NA,280
11,"016 GOVERNMENT ENGINEERING COLLEGE, MODASA (Id: C-108)",1,0,0,1,438,NA,NA,438,425,NA,NA,425
12,"017 VISHWAKARMA GOVERNMENT ENGINEERING COLLEGE, CHANDKHEDA,GANDHINAGAR (Id: C-382)",1,1,0,2,282,60,NA,342,282,60,NA,342
13,"018 GOVERNMENT ENGINEERING COLLEGE, DAHOD (Id: C-359)",1,1,0,2,120,54,NA,174,120,54,NA,174
14,"020 GOVERNMENT ENGINEERING COLLEGE, RAJKOT (Id: C-49)",1,1,0,2,180,120,NA,300,180,0,NA,180
15,"022 GOVERNMENT ENGINEERING COLLEGE, PATAN (Id: C-423)",1,1,0,2,120,120,NA,240,79,70,NA,149
16,"023 GOVERNMENT ENGINEERING COLLEGE, SURAT (Id: C-225)",2,1,0,3,200,90,NA,290,210,77,NA,287
17,"024 HASMUKH GOSWAMI COLLEGE OF ENGG, VAHELAL (Id: C-93)",1,1,0,2,150,100,NA,250,98,53,NA,151
18,025 Indus Institute of Technology and Engineering (SFI)-Ahmedabad (Id: C-122),1,1,0,2,192,32,NA,224,110,27,NA,137
19,"027 KANKESHWARIDEVI INST. OF TECH.,JAMNAGAR (Id: C-216)",1,0,0,1,150,NA,NA,150,150,NA,NA,150
20,"028 L.D.COLLEGE OF ENGINEERING, AHMEDABAD (Id: C-212)",5,1,0,6,1032,148,NA,1180,979,0,NA,979
21,"029 LALJIBHAI CHATURBHAI INSTITUTE OF TECH., BHANDU (Id: C-227)",1,1,0,2,360,120,NA,480,360,120,NA,480
22,"030 L.D.R.P. INSTITUTE OF TECH. and RESEARCH., GANDHINAGAR (Id: C-322)",3,1,0,4,750,150,NA,900,750,100,NA,850
23,"031 Lakhdhirji Enggniering college,Morbi. (Id: C-191)",2,2,0,4,200,200,NA,400,200,200,NA,400
24,032 L.J.Institue of Engineering and technology (SFI)-Ahmedabad (Id: C-350),1,0,0,1,60,NA,NA,60,60,NA,NA,60
25,"033 MAHATMA GANDHI INST.OF TECHNICAL EDU. AND RESEARCH CENTER,NAVASARI (Id: C-264)",1,1,0,2,170,125,NA,295,85,70,NA,155
26,"034 NARNARAYAN SHASTRI INSTITUTE OF TECH., JETALPUR (Id: C-182)",1,0,0,1,80,NA,NA,80,30,NA,NA,30
27,"035 NOBLE ENGINEERING COLLEGE, JUNAGADH (Id: C-213)",1,1,0,2,392,256,NA,648,207,56,NA,263
28,"037 PARUL INSTITUTE OF ENGG. AND TECH., LIMDA, VAGHODIA (Id: C-131)",1,1,0,2,531,111,NA,642,531,111,NA,642
29,"039 S.P.B. PATEL ENGG. COLLEGE(SAFFRONY), LINCH, MAHESHANA (Id: C-270)",1,1,0,2,132,51,NA,183,132,51,NA,183
30,"040 SAKALCHAND PATEL COLLEGE OF ENGG., VISNAGAR (Id: C-381)",1,1,0,2,213,210,NA,423,120,58,NA,178
31,"042 SARVAJANIK COLLEGE OF ENGG. and TECH. , SURAT (Id: C-57)",1,1,0,2,300,100,NA,400,280,80,NA,360
32,"043 SHANTILAL SHAH ENGINEERING COLLEGE ,BHAVNAGAR (Id: C-44)",3,0,0,3,426,NA,NA,426,300,NA,NA,300
33,"044 C.U.SHAH COLLEGE OF ENGG.and TECH.,WADHVAN (Id: C-414)",1,1,0,2,432,60,NA,492,30,206,NA,236
34,"045 SHRI SADVIDHYA MANDAL INSTITUTE OF TECH., BHARUCH (Id: C-197)",1,2,0,3,270,175,NA,445,180,175,NA,355
35,"049 VIDHYABHARTI TRUST INST. OF TECH. and RESEARCH CENTER, UMRAKH (Id: C-48)",0,1,0,1,NA,125,NA,125,NA,100,NA,100
36,"052 CENTRAL INSTITUE OF PLASTICS ENGG. and TECH., VATVA, AHMEDABAD (Id: C-323)",2,1,0,3,60,25,NA,85,60,4,NA,64
37,"053 CHHOTUBHAI GOPALBHAI PATEL INSTITUTE OF TECH., TARSADI, BARDOLI (Id: C-185)",1,1,0,2,240,240,NA,480,240,240,NA,480
38,"055 ENGGINERING COLLEGE, TUWA, GODHARA (Id: C-181)",1,1,0,2,360,200,NA,560,270,60,NA,330
39,"056 FACULTY OF ENGG., GROW MORE FOUNDATION GROUP OF INSTITUTIONS, BERNA, HIMMATNAGAR (Id: C-343)",0,1,0,1,NA,300,NA,300,NA,30,NA,30
40,"059 G.K. BHARAD INSTITUTE OF ENGG., KASTURBA DHAM, RAJKOT (Id: C-315)",1,1,0,2,120,80,NA,200,80,60,NA,140
41,"065 MERCHANT ENGG. COLLEGE, BASNA. VISNAGAR (Id: C-83)",3,0,0,3,328,NA,NA,328,320,NA,NA,320
42,"066 SABAR INSTITUTE OF TECH. FOR GIRLS, TAJPUR, SABARKANTHA (Id: C-136)",0,1,0,1,NA,200,NA,200,NA,150,NA,150
43,"068 SARDAR PATEL INSTITUTE OF TECH., PILUDARA, MEHSANA (Id: C-145)",1,0,0,1,288,NA,NA,288,70,NA,NA,70
44,"075 SHANKERSINH VAGHELA BAPU INSTITUTE OF TECH., UNAVA, GANDHINAGAR (Id: C-266)",1,1,0,2,187,200,NA,387,155,30,NA,185
45,"078 Smt. S.R. PATEL ENGG. COLLEGE, DABHI, UNJHA (Id: C-127)",1,0,0,1,65,NA,NA,65,40,NA,NA,40
46,"082 Dr. Jivraj Mehta Institute of Technology, Anand (Id: C-140)",1,1,0,2,84,50,NA,134,18,0,NA,18
47,"083 Dr. Subhahsh Pethaljibhai Chavda Ahir Kelvani Mandal`s Group of Institutions-Engg, Junagadh (Id: C-275)",1,0,0,1,140,NA,NA,140,140,NA,NA,140
48,"085 HJD INSTITUTE OF TECHNICAL EDUCATION AND RESERCH, Kera (Id: C-392)",1,0,0,1,92,NA,NA,92,75,NA,NA,75
49,"086 Laxmi Institute of Technology, Valsad (Id: C-308)",1,1,0,2,200,200,NA,400,150,125,NA,275
50,"087 PARUL INSTITUTE OF TECH., LIMDA, VAGHODIA (Id: C-426)",1,1,0,2,550,508,NA,1058,550,508,NA,1058
51,"091 SHRI SATSANGI SAKETDHAM `RAM ASHRAM` GROUP OF INSTITUTIONS, Vadasma (Id: C-239)",1,1,0,2,150,25,NA,175,250,40,NA,290
52,092 VEERAYATAN GROUP OF INSTITUTIONS FACULTY OF ENGG. (Id: C-55),2,1,0,3,256,36,NA,292,144,2,NA,146
53,"100001-KCES'S MOOLJEE JAITHA COLLEGE, JALGAON. (Id: C-8888)",1,3,0,4,114,468,NA,582,114,468,NA,582
54,"100003-EU'S DR. ANNASAHEB G.D.BENDALE MAHILA MAHAVIDYALAYA, JALGAON. (Id: C-8979)",0,1,0,1,NA,150,NA,150,NA,150,NA,150
55,"100005-KCES'S S.S.MANIYAR LAW COLLEGE, JALGAON. (Id: C-9030)",0,0,1,1,NA,NA,120,120,NA,NA,20,20
56,"100007-SSBT'S COLLEGE OF ENGINEERING and TECHNOLOGY, BAMBHORI. (Id: C-8977)",2,1,0,3,517,350,NA,867,492,348,NA,840
57,"100010-KCES'S INSTITUTE OF MANAGEMENT and RESEARCH, JALGAON. (Id: C-9027)",1,1,0,2,50,50,NA,100,10,20,NA,30
58,"100043-IES'S IQRA COLLEGE OF EDUCATION, MEHRUN. (Id: C-8833)",1,1,0,2,20,40,NA,60,4,0,NA,4
59,"100054-GOVERNMENT COLLEGE OF ENGINEERING, JALGAON. (Id: C-8946)",2,1,0,3,360,126,NA,486,360,126,NA,486
60,"100061-SEandCM'S SHRI GULABRAO DEOKAR COLLEGE OF ENGINEERING, JALGAON. (Id: C-8860)",1,1,0,2,72,150,NA,222,72,150,NA,222
61,"100063-GF'S GODAVARI COLLEGE OF ENGINEERING, JALGAON (Id: C-8836)",0,1,0,1,NA,140,NA,140,NA,140,NA,140
62,100081-GODAVARI FOUNDATION'S GODAVARI INSTITUTE OF MANAGEMENT and RESEARCH JALGAON (Id: C-8905),1,1,0,2,30,30,NA,60,30,30,NA,60
63,"100084-KCES'S COLLEGE OF ENGINEERING and INFORMATION TECHNOLOGY, JALGAON (Id: C-8815)",0,1,0,1,NA,100,NA,100,NA,65,NA,65
64,"100094-COLLEGE OF ARCHITECTURE, JALGAON (Id: C-10236)",1,1,0,2,20,30,NA,50,5,25,NA,30
65,"100099-KCES'S EKLAVYA COLLEGE OF PHYSICAL EDUCATION, JALGAON. (Id: C-9000)",1,1,0,2,20,20,NA,40,0,0,NA,0
66,"100100-G.H. RAISONI INSTITUTE OF ENGINEERING and MANAGEMENT, JALGAON. (Id: C-8831)",1,1,0,2,175,175,NA,350,150,100,NA,250
67,"100101-GHREFS'S G.H. RAISONI INSTITUTE OF INFORMATION TECHNOLOGY, JALGAON. (Id: C-8991)",1,1,0,2,175,175,NA,350,11,21,NA,32
68,"100105-JAI DURGA BHAVANI KRIDA MANDAL'S OM SAI COLLEGE OF EDUCATION, SHIRSOLI (Id: C-8864)",0,1,0,1,NA,25,NA,25,NA,10,NA,10
69,"100110-SMBKMP'S SHRI.CHHATRAPATI RAJE SAMBHAJI COLLEGE OF EDUCATION, JALGAON (Id: C-9013)",0,0,0,1,NA,NA,NA,0,NA,NA,NA,0
70,"100113-KCES'S POST GRADUATE COLLEGE OF SCIENCE TECH.and RESEARCH, JALGAON. (Id: C-8877)",1,1,0,2,10,10,NA,20,10,10,NA,20
71,"101 IPCOWALA INSTITUTE OF ENGINEERING and TECHNOLOGY DHARMAJ, ANAND (Id: C-45042)",1,1,0,2,120,120,NA,240,30,6,NA,36
72,"110013-SSVPM'S SMT.P.K.KOTECHA MAHILA MAHAVIDYALAYA, BHUSAWAL. (Id: C-9032)",0,1,0,1,NA,40,NA,40,NA,18,NA,18
73,"110059-HINDI SEVA MANDAL'S SHRI.SANT GADGE BABA COLLEGE OF ENGINEERING and TECHNOLOGY, BHUSAWAL (Id: C-8830)",2,3,0,5,622,171,NA,793,578,140,NA,718
74,"110109-LATE DCBEDT'S BIYANI COLLEGE OF EDUCATION, BHUSAWAL (Id: C-8920)",1,1,0,2,75,75,NA,150,0,0,NA,0
75,"120017-KES'S PRATAP COLLEGE, AMALNER. (Id: C-8807)",5,3,0,8,400,179,NA,579,354,146,NA,500
76,"120018-NPS'S COLLEGE OF EDUCATION, AMALNER. (Id: C-8989)",1,1,0,2,50,50,NA,100,0,0,NA,0
77,"130020-CES'S BP.ARTS,SMA.SCIENCE and KKC.COMMERCE COLLEGE, CHALISGAON. (Id: C-8848)",1,1,0,2,60,50,NA,110,34,38,NA,72
78,"130021-RSSPM'S NANASAHEB YASHAVANTRAO N.CHAVAN ARTS,SCIENCEandCOMMERCE COLLEGE,CHALISGAON (Id: C-9007)",0,1,0,1,NA,46,NA,46,NA,14,NA,14
79,"130083-MPSandSVM'S ARTS COLLEGE, CHALISGAON (Id: C-8961)",0,1,0,1,NA,25,NA,25,NA,25,NA,25
80,"130091-MFSandSVMS MAHATMA PHULE COLLEGE OF EDUCATION, CHALISGAON. (Id: C-8832)",0,1,0,1,NA,25,NA,25,NA,25,NA,25
81,"130106-KDMG'S NANASAHEB DR.UTTAMRAO MAHAJAN COLLEGE OF EDUCATION,KARGAON,TAL-CHALISGAON (Id: C-8814)",1,1,0,2,50,50,NA,100,0,0,NA,0
82,"140022-MGTSM'S ARTS,SCIENCE and COMMERCE COLLEGE, CHOPDA. (Id: C-8975)",1,1,0,2,250,150,NA,400,240,140,NA,380
83,"140024-CES'S COLLEGE OF EDUCATION, CHOPDA. (Id: C-8982)",0,1,0,1,NA,30,NA,30,NA,0,NA,0
84,"140046-MGSM'S SMT.SHARADCHANDRIKA SURESH PATIL COLLEGE OF PHARMACY, CHOPDA (Id: C-9004)",1,1,0,2,150,60,NA,210,52,45,NA,97
85,"150027-TMES'S J.T.MAHAJAN COLLEGE OF ENGINEERING, FAIZPUR. (Id: C-9012)",1,1,0,2,250,240,NA,490,180,170,NA,350
86,"150028-TVES'S DHANAJI NANA ARTS,SCIENCE and COMMERCE COLLEGE, FAIZPUR. (Id: C-8881)",1,1,0,2,100,180,NA,280,50,180,NA,230
87,"150029-TVES'S COLLEGE OF EDUCATION, FAIZPUR. (Id: C-8806)",0,1,0,1,NA,80,NA,80,NA,0,NA,0
88,"150051-TVES'S HON'BLE LOKSEVAK MADHUKARRAO CHAUDHARI COLLEGE OF PHARMACY, FAIZPUR. (Id: C-8851)",1,1,0,2,90,120,NA,210,0,25,NA,25
89,"150056-SES'S ARTS and SCIENCE COLLEGE, BHALOD, TAL. YAWAL (Id: C-8820)",0,1,0,1,NA,33,NA,33,NA,0,NA,0
90,"160030-YCSPM'S DADASAHEB D.S.PATIL ARTS,SCIENCE and COMMERCE COLLEGE, ERANDOL. (Id: C-8981)",0,1,0,1,NA,21,NA,21,NA,0,NA,0
91,"160031-PRHSS'S ARTS and COMMERCE COLLEGE, DHARANGAON. (Id: C-8885)",0,1,0,1,NA,50,NA,50,NA,0,NA,0
92,"170032-JTES'S ARTS,COMMERCE and SCIENCE COLLEGE, JAMNER. (Id: C-8983)",0,1,0,1,NA,60,NA,60,NA,46,NA,46
93,"170033-SSE CO-OP S'S LATE R.B.GARUD KALA and WANIJYA MAHAVIDYALAYA, SHENDURNI. (Id: C-8894)",0,1,0,1,NA,50,NA,50,NA,0,NA,0
94,"170096-SHREE SURESHDADA JAIN INSTITUTE OF PHARMACEUTICAL EDUCATION and RESEARCH, JAMNER (Id: C-8987)",0,1,0,1,NA,60,NA,60,NA,25,NA,25
95,"180036-ETES'S S.G.G.K. SCIENCE and S.K.M.C. ARTS and COMMERCE COLLEGE, MUKTAINAGAR. (Id: C-8910)",0,1,0,1,NA,60,NA,60,NA,103,NA,103
96,"180038-JSM'S SGVPC COLLEGE OF EDUCATION, KHIRODA. (Id: C-8891)",1,1,0,2,50,60,NA,110,31,49,NA,80
97,"190097-SSPM'S COLLEGE OF EDUCATION, TEHU, TAL.PAROLA (Id: C-8901)",0,1,0,1,NA,30,NA,30,NA,12,NA,12
98,"1- D.P. B.S. Degree college Anoopshahr, (Bulandshahr) Mob.No.9897671410 Ph.No.05734-275450 (Id: C-29034)",1,0,0,1,64,NA,NA,64,16,NA,NA,16
99,"200001-JAI HIND ET'S ZULAL BHILAJIRAO PATIL COLLEGE, DHULE. (Id: C-8916)",0,1,0,1,NA,75,NA,75,NA,75,NA,75
100,"200002-SSVPS'S LATE KARMAVEER DR.P.R. GHOGREY SCIENCE COLLEGE, DHULE. (Id: C-8871)",2,1,0,3,200,80,NA,280,200,80,NA,280
101,"200003-SSVPS'S BHAUSAHEB N.S.PATIL ARTS and M.F.M.A. COMMERCE COLLEGE, DHULE. (Id: C-8950)",1,1,0,2,54,50,NA,104,0,0,NA,0
102,"200004-SSVPS'S BAPUSAHEB SHIVAJIRAO DEORE COLLEGE OF ENGINEERING, DHULE. (Id: C-8874)",1,1,0,2,180,115,NA,295,175,115,NA,290
103,"200005-VWS'S ARTS,COMMERCEandSCIENCE COLLEGE, DHULE. (Id: C-8867)",1,0,0,1,50,NA,NA,50,50,NA,NA,50
104,"200008-DES'S COLLEGE OF EDUCATION, DHULE. (Id: C-8932)",1,0,0,1,25,NA,NA,25,8,NA,NA,8
105,"200009-AYKK'S ARTS MAHILA MAHAVIDYALAYA, DHULE. (Id: C-8886)",0,1,0,1,NA,50,NA,50,NA,50,NA,50
106,"200013-AYKK'S COLLEGE OF EDUCATION, DHULE. (Id: C-8896)",0,1,0,1,NA,20,NA,20,NA,10,NA,10
107,"200017-SES'S COLLEGE OF ENGINEERING, NAVALNAGAR, TAL.and DIST-DHULE. (Id: C-8930)",0,2,0,2,NA,75,NA,75,NA,42,NA,42
108,"200019-NES'S GANGAMAI COLLEGE OF EDUCATION, NAGAON, TAL.and DIST-DHULE. (Id: C-8911)",1,1,0,2,50,50,NA,100,10,10,NA,20
109,"200020-JSPS'S COLLEGE OF EDUCATION, GARTAD, TAL.and DIST-DHULE (Id: C-8938)",1,1,0,2,50,50,NA,100,16,4,NA,20
110,"200025-NES'S GANGAMAI COLLEGE OF ENGINEERING, NAGAON, TAL.and DIST-DHULE. (Id: C-8846)",1,1,0,2,200,100,NA,300,200,100,NA,300
111,"200064-A.R.A. COLLEGE OF PHARMACY, DHULE. (Id: C-8925)",0,1,0,1,NA,50,NA,50,NA,12,NA,12
112,"200070-SSS'S DR.B.R.AMBEDKAR COLLEGE OF SOCIAL WORK, MORANE, TAL.andDIST-DHULE. (Id: C-8870)",1,1,0,2,20,20,NA,40,16,14,NA,30
113,"200095-NES'S GANGAMAI COLLEGE OF PHARMACY, NAGAON, DHULE. (Id: C-8873)",1,1,0,2,100,50,NA,150,37,15,NA,52
114,"200101-ASPMD'S BAPUSAHEB D.D.VISPUTE COLLEGE OF EDUCATION, VALWADI-DHULE (Id: C-8955)",1,1,0,2,50,50,NA,100,25,30,NA,55
115,"201 A.R.COLLEGE OF PHARMACY and G.H.P. INSTITUTE OF PHARMACY, V.V.NAGAR (GIA) (Id: C-172)",1,1,0,2,64,50,NA,114,57,45,NA,102
116,"202 A.R.COLLEGE OF PHARMACY and G.H.P. INSTITUTE OF PHARMACY, V.V.NAGAR (SFI) (Id: C-65)",1,1,0,2,64,50,NA,114,22,18,NA,40
117,"203 AKSHAR-PREET INSTITUTE OF PHARMACY, JAMNAGAR (Id: C-356)",1,0,0,1,100,NA,NA,100,12,NA,NA,12
118,"205 ANAND PHARMACY COLLEGE, ANAND (Id: C-285)",1,1,0,2,120,243,NA,363,120,243,NA,363
119,"210026-VVM'S ARTS,SCIENCE and COMMERCE COLLEGE, SAKRI. (Id: C-8825)",1,0,0,1,50,NA,NA,50,40,NA,NA,40
120,"210 ATMIYA INSTITUTE OF PHARMACY, RAJKOT (Id: C-178)",1,0,0,1,100,NA,NA,100,100,NA,NA,100
121,"211 AVANTIKA EDUCATION TRUST B.PHARMACY COLLEGE, NAVALGADH (Id: C-432)",1,0,0,1,75,NA,NA,75,6,NA,NA,6
122,"212 B.K.MODI GOVERMENT PHARMACY COLLEGE, RAJKOT (Id: C-241)",1,1,0,2,100,78,NA,178,140,81,NA,221
123,"213 BABARIA INSTITUTE OF PHARMACY,VARNAMA (Id: C-92)",1,1,0,2,150,20,NA,170,23,2,NA,25
124,214 PARUL INSTITUTE OF PHARMACY and RESEARCH (Id: C-194),1,1,0,2,1128,708,NA,1836,1128,708,NA,1836
125,"215 BHAGVAN MAHAVIR PHARMACY COLLEGE, SURAT (Id: C-312)",1,1,0,2,100,50,NA,150,73,35,NA,108
126,"219 G.H.B. PHARMACY COLLEGE, ANIYAD (Id: C-429)",1,1,0,2,60,120,NA,180,2,2,NA,4
127,"220053-NTVS'S G.T.PATIL ARTS,SCIENCE and COMMERCE COLLEGE, NANDURBAR. (Id: C-8847)",1,1,0,2,100,60,NA,160,40,50,NA,90
128,"220100-ADIWASI DEOMOGRA EDU. SOCIETY'S K.D.GAVIT COLLEGE OF EDUCATION, PATHRAI (Id: C-8971)",1,1,0,2,20,20,NA,40,15,0,NA,15
129,"220104-SGSSS'S P.G. INSTITUTE OF MANAGEMENT and RESEARCH, CHAUPALE, TALandDIST-NANDURBAR (Id: C-9001)",1,1,0,2,20,20,NA,40,0,0,NA,0
130,"220 B. PHARMACY COLLEGE, RAMPURA (Id: C-36)",1,1,0,2,150,75,NA,225,15,14,NA,29
131,"222 HARI OM PHARMACY COLLEGE, AMBAV (Id: C-204)",1,1,0,2,50,25,NA,75,2,5,NA,7
132,"223 INDUKAKA IPCOWALA COLLEGE OF PHARMACY, NEW V.V.NAGAR (Id: C-37)",1,1,0,2,30,72,NA,102,9,25,NA,34
133,"225 KALOL INSTITUTE OF PHARMACY, KALOL (Id: C-286)",1,1,0,2,38,30,NA,68,2,0,NA,2
134,"227 L.J.INSTITUTE OF PHARMACY, SANAND (Id: C-278)",1,0,0,1,60,NA,NA,60,0,NA,NA,0
135,"228 L.M.COLLEGE OF PHARMACY, AHMEDABAD (Id: C-409)",1,1,0,2,136,100,NA,236,136,100,NA,236
136,"229 M.P.PATEL COLLEGE OF PHARMACY, KAPADWANJ (Id: C-411)",0,1,0,1,NA,3,NA,3,NA,26,NA,26
137,"230032-PSGVPM'S D.N.PATEL COLLEGE OF ENGINEERING, SHAHADA, DIST-NANDURBAR. (Id: C-8912)",1,1,0,2,200,100,NA,300,200,100,NA,300
138,"230033-PSGVPM'S SCIENCE,COMMERCE and S.I.PATIL ARTS COLLEGE, SHAHADA. (Id: C-8855)",1,1,1,3,50,100,50,200,50,100,50,200
139,"230034-PSGVPM'S COLLEGE OF EDUCATION, SHAHADA, DIST-NANDURBAR. (Id: C-8821)",1,1,0,2,50,30,NA,80,0,2,NA,2
140,"230065-PSGVPM'S COLLEGE OF PHARMACY, SHAHADA, DIST-NANDURBAR. (Id: C-8996)",1,1,0,2,50,75,NA,125,2,29,NA,31
141,"230078-SHAHADA TALUKA CO-OP EDUCATIONAL SOCIETY'S SCIENCE COLLEGE, SHAHADA. (Id: C-8898)",0,1,0,1,NA,100,NA,100,NA,100,NA,100
142,"230 MALIBA PHARMACY COLLEGE, TARSADI (Id: C-373)",1,1,0,2,240,140,NA,380,100,40,NA,140
143,"232 NOOTAN PHARMACY COLLEGE, VISNAGAR (Id: C-331)",2,2,0,4,400,400,NA,800,55,25,NA,80
144,"233 PARUL INSTITUTE OF PHARMACY, LIMDA (Id: C-117)",1,1,0,2,520,520,NA,1040,520,520,NA,1040
145,"235 PIONEER PHARMACY COLLEGE, SAYAJIPURA (Id: C-246)",1,1,0,2,40,120,NA,160,10,76,NA,86
146,"239 ROFEL,SHRI G.M.BILAKHIA COLLEGE OF PHARMACY, VAPI (Id: C-198)",1,0,0,1,50,NA,NA,50,5,NA,NA,5
147,"240036-KVPS'S SMT.P.D.M.ARTS, SMT.H.D.COMMERCE and S.M.A.SCIENCE COLLEGE, SHIRPUR. (Id: C-9024)",0,1,0,1,NA,120,NA,120,NA,80,NA,80
148,"240039-SES'S H.R.PATEL ARTS MAHILA MAHAVIDYALAYA, SHIRPUR. (Id: C-8973)",0,1,0,1,NA,45,NA,45,NA,30,NA,30
149,"240040-SES'S COLLEGE OF EDUCATION, SHIRPUR, DIST-DHULE (Id: C-8960)",0,1,0,1,NA,30,NA,30,NA,0,NA,0
150,"240051-R.C.PATEL E.T.'S ARTS and SCIENCE COLLEGE, SHIRPUR. (Id: C-9002)",1,2,0,3,400,250,NA,650,400,250,NA,650
151,"240055-SES'S R.C.PATEL INSTITUTE OF PHARMACEUTICAL EDUCATION AND RESEARCH, SHIRPUR, DIST DHULE (Id: C-8993)",2,3,0,5,450,500,NA,950,100,136,NA,236
152,"240074-R.C.PATEL EDU.TRUST'S INSTITUTE OF MANAGEMENT RESEARCHandDEVELOPMENT, SHIRPUR (Id: C-8868)",1,1,0,2,200,200,NA,400,50,51,NA,101
153,"240081-SES'S R.C.PATEL INSTITUTE OF TECHNOLOGY, SHIRPUR (Id: C-8838)",2,3,0,5,350,400,NA,750,350,128,NA,478
154,"240093-SES'S H.R.PATEL INSTITUTE OF PHARMACEUTICAL EDUCATION AND RESEARCH, SHIRPUR (Id: C-8924)",1,1,0,2,50,50,NA,100,1,40,NA,41
155,"240096-KVPS'S INSTITUTE OF PHARMACEUTICAL EDUCATION, BORADI (Id: C-8959)",2,2,0,4,240,170,NA,410,160,25,NA,185
156,"240 B. S. PATEL PHARMACY COLLEGE, LINCH (Id: C-368)",1,1,0,2,3,3,NA,6,132,51,NA,183
157,"241 DHARMAJ DEGREE PHARMACY COLLEGE, DHARMAJ (Id: C-115)",1,1,0,2,100,120,NA,220,25,60,NA,85
158,"246 SAT KAIVAL COLLEGE OF PHARMACY, SAARSA (Id: C-60)",1,1,0,2,240,240,NA,480,35,40,NA,75
159,"250042-SSSVPS'S LATE S.D.PATIL ARTS,COM.andLATE M.D.SISODE SCI.COLLEGE SHINDKHEDA (Id: C-8816)",0,1,0,1,NA,30,NA,30,NA,0,NA,0
160,"250045-DSM'S COLLEGE OF EDUCATION, DONDAICHA, TAL SHINDKHEDA, DHULE (Id: C-8887)",0,1,0,1,NA,80,NA,80,NA,25,NA,25
161,"250108-SVS'S SHRIMANT RAJE DAULATSINHJI RAWAL COLLEGE OF EDUCATION, DONDAICHA, TAL SHINDKHEDA, DHULE (Id: C-8953)",1,1,0,2,100,50,NA,150,100,50,NA,150
162,"250 SHREE H.N.SHUKLA INSTITUTE OF PHARMACEUTICAL EDUCATION and RESEARCH, RAJKOT (Id: C-348)",1,1,0,2,200,100,NA,300,0,0,NA,0
163,"253 K.V.VIRANI INSTITUTE OF PHARMACY AND RESEARCH CENTRE, BADHADA (Id: C-137)",1,1,0,2,120,80,NA,200,88,41,NA,129
164,"255 SHREE KRISHNA INSTITUTE OF PHARMACY, SHANKHALPUR (Id: C-262)",1,1,0,2,48,48,NA,96,9,3,NA,12
165,"256 SHRI SAMANVAY INSTITUTE OF PHARMACY, BOTAD (Id: C-64)",1,1,0,2,300,100,NA,400,85,45,NA,130
166,"257 FACULTY OF PHARMACY, SRI SATSANGI SAKETDHAM RAM ASHRAM GROUP OF INSTITUTIONS, VADASMA (Id: C-44990)",1,1,0,2,250,40,NA,290,150,25,NA,175
167,"258 SHRI SWAMINARAYAN COLLEGE OF PHARMACY, KALOL (Id: C-218)",1,0,0,1,50,NA,NA,50,0,NA,NA,0
168,"259 SHREE SWAMINARAYAN PHARMACY COLLEGE, KEVADIA COLONY (Id: C-257)",1,1,0,2,60,60,NA,120,40,50,NA,90
169,"260091-JIIU'S JAMIA COLLEGE OF EDUCATION, AKKALKUWA. (Id: C-9006)",1,1,0,2,50,50,NA,100,20,18,NA,38
170,"260097-ALI-ALLANA COLLEGE OF PHARMACY, AKKALKUWA. (Id: C-9021)",1,1,0,2,300,150,NA,450,160,40,NA,200
171,"261 SIGMA INSTITUTE OF PHARMACY, BAKROL (Id: C-39)",1,1,0,2,64,200,NA,264,48,200,NA,248
172,"262 SMT NILABEN MANUBHAI PADALIA PHARMACY COLLEGE, NAVAPURA (Id: C-418)",1,0,0,1,30,NA,NA,30,0,NA,NA,0
