SI. No.,Name of Institution,Number of Hostels - Boys,Number of Hostels - Girls,Number of Hostels - Others,Number of Hostels - Total,Intake Capacity - Boys,Intake Capacity - Girls,Intake Capacity - Others,Intake Capacity - Total,Number of Students Residing - Boys,Number of Students Residing - Girls,Number of Students Residing - Others,Number of Students Residing - Total
1069,"Bangalore City College of Education, No.160, Cellakere Main Road, Kalyananagar, Bangalore 43. (Id: C-20646)",1,1,0,2,200,200,NA,400,4,2,NA,6
1070,Bangalore City College of Nursing (Id: C-40072),1,1,0,2,100,400,NA,500,0,75,NA,75
1071,Bangalore City College of Nursing (Id: C-40227),1,1,0,2,300,100,NA,400,0,0,NA,0
1072,BANGALORE CITY COLLEGE OF NURSING (Id: C-47418),1,1,0,2,300,100,NA,400,0,0,NA,0
1073,"Bangalore College of Education, Heelalige Village, Chandapura, Bangalore -81 (Id: C-20979)",1,1,0,2,50,50,NA,100,15,3,NA,18
1074,"Bangalore College of Engineering and Tech, BANGALORE (Id: C-1260)",1,1,0,2,400,120,NA,520,189,31,NA,220
1075,Bangalore Institute of Dental Sciences and Hospital (Id: C-40189),1,1,0,2,75,140,NA,215,25,90,NA,115
1076,"Bangalore Institute of Legal Studies, Bangalore (Id: C-9832)",0,1,0,1,NA,65,NA,65,NA,22,NA,22
1077,"Bangalore Institute of Technology, BANGALORE-560 004 (Id: C-1340)",1,1,0,2,312,143,NA,455,312,143,NA,455
1078,"Bangalore Instiute of International Management, No.76/6,Opp.RVCE, Mysore Road, Bangalore -60(BRV College) (Id: C-20919)",0,0,1,1,NA,NA,100,100,NA,NA,60,60
1079,"Bangalore Instiute of Management Studies, Opp.RVCE, Mysore Road, Bangalore -60 (Id: C-21029)",0,0,1,1,NA,NA,125,125,NA,NA,40,40
1080,Bangalore Medical College (Id: C-40417),1,1,0,2,545,360,NA,905,540,355,NA,895
1081,"Bangalore Technological Institute, BANGALORE (Id: C-1418)",2,1,0,3,250,36,NA,286,180,20,NA,200
1082,"Bangurnagar Arts, Science and Commerce College, Dandeli. (Id: C-35594)",0,1,0,1,NA,200,NA,200,NA,100,NA,100
1083,Bankim Sardar College (Id: C-11951),1,0,0,1,150,NA,NA,150,150,NA,NA,150
1084,Bankura Christian College (Id: C-44742),3,2,0,5,255,113,NA,368,178,106,NA,284
1085,Bankura Sammilani College (Id: C-44723),2,1,0,3,80,20,NA,100,80,20,NA,100
1086,Bankura Unnayani Institute of Engineering 105-ENGG (Id: C-6211),2,2,0,4,480,280,NA,760,450,280,NA,730
1087,Bankura Zilla Saradamani Mahila Mahavidyapith (Id: C-44730),0,2,0,2,NA,170,NA,170,NA,170,NA,170
1088,Bannari Amman Institute of Technology (Id: C-36984),4,7,0,11,2494,2017,NA,4511,2225,1582,NA,3807
1089,BANNARI AMMAN INSTITUTE OF TECHNOLOGY - MCA PROGRAMME (Id: C-46583),1,1,0,2,314,268,NA,582,183,121,NA,304
1090,"BANSAL INSTITUTE OF PARAMEDICAL SCIENCE, Jabalpur (Id: C-47386)",1,0,0,1,50,NA,NA,50,25,NA,NA,25
1091,"Banshidhar Sanskrit Mahavidyalaya, Gayatri Nagar, Sarainandan (Id: C-20244)",1,0,0,1,25,NA,NA,25,16,NA,NA,16
1092,"BANSI COLLEGE OF EDUCATION, BITHOOR, (Id: C-12388)",1,0,0,1,100,NA,NA,100,100,NA,NA,100
1093,"Bansilal Ramnath Agarwal Charitable Trusts Vishwakarama Institute of Technology, Apper Indiranagar, Pune 411037 (Id: C-41351)",1,1,0,2,263,387,NA,650,379,258,NA,637
1094,"Bansilal Ramnath Agarwal Charitable Trusts Vishwakarma College of Arts, Science and Commerce College,Pune (Id: C-41700)",1,1,0,2,250,250,NA,500,8,2,NA,10
1095,"Bansilal Ramnath Agarwal Charitable Trust's Vishwakarma Creative-I College, Vishwakarma Educational Campus, Sr.No. 3/6, Kondhwa Bk., Laxminagar, Pune 411048 (Id: C-44577)",1,1,0,2,30,30,NA,60,2,1,NA,3
1096,"Bansilal Ramnath Agarwal Charitable Trusts, Vishwakarma Institute of Informatics Technology,Pune (Id: C-41497)",1,1,0,2,244,124,NA,368,231,110,NA,341
1097,"Bansilal Ramnath Agarwal Charitable Trusts Vishwakarma Institute of Management, Kondhwa Bk., Pune 411048 (Id: C-41567)",1,1,0,2,21,21,NA,42,9,21,NA,30
1098,Banwarilal Bhalotia College (Id: C-44735),1,1,0,2,150,200,NA,350,120,80,NA,200
1099,Bapatla College of Arts and Science (Id: C-32779),1,1,0,2,200,600,NA,800,45,525,NA,570
1100,"BAPATLA COLLEGE OF PHARMACY, BAPATLA-522101(CC-10) (Id: C-18167)",0,1,0,1,NA,600,NA,600,NA,175,NA,175
1101,Bapatla Engineering College (Id: C-42660),0,1,0,1,NA,500,NA,500,NA,500,NA,500
1102,Bapatla Womens Engineering College (Id: C-39453),0,1,0,1,NA,830,NA,830,NA,610,NA,610
1103,"Bapuji Academy of Managment and Research, Davangere (Id: C-17692)",1,1,0,2,50,50,NA,100,50,50,NA,100
1104,Bapuji Ayurvedic Medical College (Id: C-40376),1,1,0,2,50,50,NA,100,40,45,NA,85
1105,Bapuji Ayurvedic Medical College Shimoga (Id: C-44850),1,1,0,2,120,80,NA,200,58,67,NA,125
1106,"Bapuji College Of Education, Chitradurga (Id: C-17757)",1,1,0,2,25,25,NA,50,15,10,NA,25
1107,Bapuji College of Nursing Davangere (Id: C-44937),1,1,0,2,50,60,NA,110,30,60,NA,90
1108,Bapuji College of Nursing Shimoga (Id: C-44886),1,1,0,2,80,120,NA,200,19,16,NA,35
1109,Bapuji College of Pharmacy (Id: C-40328),2,3,0,5,1223,600,NA,1823,7,20,NA,27
1110,Bapuji Dental College and Hospital (Id: C-40193),2,4,0,6,596,789,NA,1385,423,255,NA,678
1111,"Bapuji Institute of Engineering and Technology, DAVANAGERE (Id: C-1428)",3,2,0,5,660,495,NA,1155,660,495,NA,1155
