Programme,1st Year Enrolment - Male,1st Year Enrolment - Female,1st Year Enrolment - Total,2nd Year Enrolment - Male,2nd Year Enrolment - Female,2nd Year Enrolment - Total,3rd Year Enrolment - Male,3rd Year Enrolment - Female,3rd Year Enrolment - Total,4th Year Enrolment - Male,4th Year Enrolment - Female,4th Year Enrolment - Total,5th Year Enrolment - Male,5th Year Enrolment - Female,5th Year Enrolment - Total,6th Year Enrolment - Male,6th Year Enrolment - Female,6th Year Enrolment - Total,7th Year Enrolment - Male,7th Year Enrolment - Female,7th Year Enrolment - Total,8th Year Enrolment - Male,8th Year Enrolment - Female,8th Year Enrolment - Total
M.B.A.- Master of Business Administration,85248,46439,131687,74268,41218,115486,517,218,735,49,14,63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M.B.A.(Pharma. Tech.)-Master of Business Administration in Pharmaceutical Technology,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M.B.A.(Tech.)-Master of Business Administration in Technology,714,478,1192,659,445,1104,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M.B.B.S.-Bachelor of Medicine and Bachelor of Surgery,11453,11438,22891,8488,8394,16882,7401,6983,14384,7345,6045,13390,5421,5005,10426,1432,1463,2895,NA,NA,NA,NA,NA,NA
M.C.A. -Master of Computer Applications,30795,20917,51712,28665,19429,48094,25503,17065,42568,36,20,56,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
M.Ch.-Master of Chirurgiae,68,5,73,64,3,67,55,5,60,4,0,4,4,0,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
"M.Com. B.Ed.-Master of Commerce, Bachelor of Education",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M.Com.-Master of Commerce,25516,35496,61012,20658,25908,46566,28,51,79,5,5,10,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
M.Dance-Master of Dance,0,16,16,0,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M.D.-Doctor of Medicine,3465,2370,5835,2814,1865,4679,2477,1526,4003,1,0,1,1,0,1,1,0,1,NA,NA,NA,NA,NA,NA
M.Des.-Master of Design,1,11,12,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M.D.S.-Master of Dental Surgery,1029,1051,2080,808,816,1624,710,737,1447,38,65,103,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
M.Ed. -Master of Education,6515,10464,16979,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M.E.-Master of Engineering,9951,7763,17714,7291,5468,12759,232,45,277,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M.F.A. -Master of Fine Arts,446,223,669,308,225,533,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M.F.M.-Master of Fashion Management,21,44,65,23,43,66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M.F.M. -Master of Financial Management,211,199,410,146,121,267,48,8,56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M.F.Sc. -Master of Fishery Science,39,29,68,35,29,64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M.F.Tech.-Master of Fashion Technology,13,15,28,14,16,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M.F.T. -Master of Foreign Trade,20,14,34,34,7,41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M.H.A. -Master of Hospital Administration,105,155,260,88,134,222,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M.H.M.S.-Master of Homeopathic Medicine and Science,14,15,29,12,10,22,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M.H.R.D. -Master of Human Resource Development,261,226,487,304,196,500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M.I.B.-Master of International Business,405,282,687,313,267,580,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M.J.-Master of Journalism,141,44,185,59,46,105,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M.J.M.C.-Master of Journalism and Mass Communication,165,191,356,116,165,281,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M.Lib.Sc. -Master of Library Science,156,226,382,22,40,62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M.L.I.Sc.-Master of Library and Information Science,111,107,218,24,3,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M.Litt.-Master of Literature or Master of Letters,1,4,5,0,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M.L. -Master of Laws,57,12,69,40,10,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M.M.C.-Master in Mass Communication,70,42,112,47,71,118,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M.Mgt.-Master of Management,1264,796,2060,1174,848,2022,6,27,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M.Mkt.M. -Master of Marketing Management,305,127,432,373,84,457,70,18,88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M.Mus. -Master of Music,28,123,151,11,124,135,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M.O.L. -Master of Oriental Learning,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M.Optom. -Master of Optometry,17,8,25,7,9,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M.O.T. -Master of Occupational Therapy,14,25,39,17,25,42,4,1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M.P.A.-Master of Performing Arts,14,22,36,1,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M.P.Ed.-Master of Physical Education,740,382,1122,636,305,941,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M.P.E.-Master of Physical Education,27,13,40,24,14,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M.Pharm. -Master of Pharmacy,7387,5301,12688,5912,4046,9958,31,47,78,19,25,44,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
M.Phil.-Master of Philosophy,3658,6655,10313,204,304,508,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M.P.H. -Master of Public Health,59,31,90,32,21,53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M.Plan.-Master of Planning,8,9,17,4,12,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M.P.S. -Master of Population Studies,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M.P.T.-Master of Physiotherapy,514,694,1208,488,565,1053,6,40,46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
